TEAM,MEMBER,ORDER,TYPE,SPRINT17,HURDLES17,RELAY17,STEEPLECHASE,UNDRWTR17,SAND17
TEAM GALACTIC,PULSAR,4,2017.01,,,2.69,,,
JAWBREAKERS,JAWBREAKERS,,2017.01,,,12.27,,,24.37
JAWBREAKERS,CANDY,1,2017.01,,,1.89,,,
JAWBREAKERS,SWEET,2,2017.01,,,3.63,,,
JAWBREAKERS,SUGAR,3,2017.01,,,3.45,,,24.37
JAWBREAKERS,TAFFY,4,2017.01,,,3.3,,,
JUNGLE JUMPERS,JUNGLE JUMPERS,,2017.01,,,11.1,,,27.29
JUNGLE JUMPERS,HOP,1,2017.01,,,1.91,,,27.29
JUNGLE JUMPERS,LEAP,2,2017.01,,,2.82,,,
JUNGLE JUMPERS,JUMP,3,2017.01,,,3.47,,,
JUNGLE JUMPERS,SKIP,4,2017.01,,,2.9,,,
LIMERS,LIMERS,,2017.01,,,11.58,,,26.68
LIMERS,SUBLIME,1,2017.01,,,1.86,,,
LIMERS,SLIMELIME,2,2017.01,,,2.77,,,
LIMERS,GOOLIME,3,2017.01,,,3.95,,,26.68
LIMERS,LEMONLIME,4,2017.01,,,3,,,
MELLOW YELLOW,MELLOW YELLOW,,2017.01,,,12.78,,,
MELLOW YELLOW,YELLAH,1,2017.01,,,1.92,,,
MELLOW YELLOW,YELLOW,2,2017.01,,,3.67,,,
MELLOW YELLOW,YELLEY,3,2017.01,,,4.22,,,
MELLOW YELLOW,YELLUP,4,2017.01,,,2.97,,,
MIDNIGHT WISPS,MIDNIGHT WISPS,,2017.01,,,10.4,,,27.18
MIDNIGHT WISPS,WESPY,1,2017.01,,,1.91,,,
MIDNIGHT WISPS,WISPY,2,2017.01,,,2.39,,,27.18
MIDNIGHT WISPS,WOSPY,3,2017.01,,,3.1,,,
MIDNIGHT WISPS,WUSPY,4,2017.01,,,3,,,
TEAM MOMO,TEAM MOMO,,2017.01,,,10.11,,,
TEAM MOMO,MO,1,2017.01,,,1.87,,,
TEAM MOMO,MOMO,2,2017.01,,,2.48,,,
TEAM MOMO,MOMOMO,3,2017.01,,,3.03,,,
TEAM MOMO,MOMOMOMO,4,2017.01,,,2.73,,,
TEAM MOMO,MIMO,5,2017.01,,,,,,
OCEANICS,OCEANICS,,2017.01,,,9.83,,,25.69
OCEANICS,AQUA,1,2017.01,,,1.92,,,
OCEANICS,SEA,2,2017.01,,,2.45,,,25.69
OCEANICS,SHORE,3,2017.01,,,2.89,,,
OCEANICS,OCEAN,4,2017.01,,,2.57,,,
O'RANGERS,O'RANGERS,,2017.01,,,9.92,,,26.64
O'RANGERS,CLEMENTIN,1,2017.01,,,1.82,,,
O'RANGERS,KINNOWIN,2,2017.01,,,2.49,,,26.64
O'RANGERS,MANDARIN,3,2017.01,,,2.91,,,
O'RANGERS,TANGERIN,4,2017.01,,,2.7,,,
PINKIES,PINKIES,,2017.01,,,10.86,,,25.89
PINKIES,PINKY WINKY,1,2017.01,,,1.95,,,
PINKIES,PINKY DINK,2,2017.01,,,2.61,,,
PINKIES,PINKY TOE,3,2017.01,,,3.51,,,
PINKIES,PINKY ROSA,4,2017.01,,,2.79,,,25.89
TEAM PRIMARY,TEAM PRIMARY,,2017.01,,,11.38,,,26.15
TEAM PRIMARY,PRIM,1,2017.01,,,1.87,,,
TEAM PRIMARY,RIMA,2,2017.01,,,3.55,,,26.15
TEAM PRIMARY,IMAR,3,2017.01,,,3.27,,,
TEAM PRIMARY,MARY,4,2017.01,,,2.69,,,
QUICKSILVERS,QUICKSILVERS,,2017.01,,,10.6,,,26.41
QUICKSILVERS,ARGENT,1,2017.01,,,1.89,,,
QUICKSILVERS,MERCURIAL,2,2017.01,,,2.7,,,
QUICKSILVERS,QUIX,3,2017.01,,,3.24,,,26.41
QUICKSILVERS,SILVERY,4,2017.01,,,2.77,,,
SAVAGE SPEEDERS,SAVAGE SPEEDERS,,2017.01,,,11.58,,,
SAVAGE SPEEDERS,SPEEDY,1,2017.01,,,1.98,,,
SAVAGE SPEEDERS,RAPIDLY,2,2017.01,,,2.63,,,
SAVAGE SPEEDERS,SWIFTY,3,2017.01,,,3.98,,,
SAVAGE SPEEDERS,WHIZZY,4,2017.01,,,2.99,,,
SHINING SWARM,SHINING SWARM,,2017.01,,,10.83,,,26.59
SHINING SWARM,SHINY,1,2017.01,,,1.91,,,
SHINING SWARM,SPARKLE,2,2017.01,,,2.79,,,
SHINING SWARM,SHIMMER,3,2017.01,,,3.13,,,
SHINING SWARM,STERLING,4,2017.01,,,3,,,26.59
THUNDERBOLTS,THUNDERBOLTS,,2017.01,,,10.71,,,
THUNDERBOLTS,BOLTA,1,2017.01,,,1.87,,,
THUNDERBOLTS,BOLTO,2,2017.01,,,2.38,,,
THUNDERBOLTS,BOLTU,3,2017.01,,,3.03,,,
THUNDERBOLTS,BOLTY,4,2017.01,,,3.43,,,
BALLS OF CHAOS,BALLS OF CHAOS,,2017.01,,,10.599984,,,26.85
BALLS OF CHAOS,ANARCHY,1,2017.01,,,1.89,,,
