TEAM,MEMBER,ORDER,TYPE,5M SPRINT,HURDLES,RELAY,SANDRALLY,UNDERWATER,ELIMINATION,BIATHLON
SAVAGE SPEEDERS,WHIZZY,4,2019.01,,,10.69,,,,
SAVAGE SPEEDERS,VELOCITY,5,2019.01,,,,,,,
THUNDERBOLTS,THUNDERBOLTS,,2019.01,,,10.35,,29.88,,
THUNDERBOLTS,THUNDER,1,2019.01,,,2.64,,,,
THUNDERBOLTS,LIGHTNING,2,2019.01,,,1.86,,,,
THUNDERBOLTS,BOLT,3,2019.01,,,2.5,,,,
THUNDERBOLTS,SHOCK,4,2019.01,,,3.35,,29.88,,
JAWBREAKERS,JAWBREAKERS,,2019.01,,,10.81,,29.9,,
JAWBREAKERS,CANDY,1,2019.01,,,2.51,,,,
JAWBREAKERS,TAFFY,2,2019.01,,,1.91,,,,
JAWBREAKERS,SUGAR,3,2019.01,,,2.9,,29.9,,
JAWBREAKERS,SWEET,4,2019.01,,,3.49,,,,
KOBALTS,KOBALTS,,2019.01,,,10.74,,29.84,,
KOBALTS,AZURE,1,2019.01,,,2.49,,29.84,,
KOBALTS,GNOME,2,2019.01,,,1.81,,,,
KOBALTS,MEEPO,3,2019.01,,,2.86,,,,
KOBALTS,CERULEAN,4,2019.01,,,3.58,,,,
LIMERS,LIMERS,,2019.01,,,10.53,,30.22,,
LIMERS,SUBLIME,1,2019.01,,,2.5,,,,
LIMERS,LEMONLIME,2,2019.01,,,1.92,,,,
LIMERS,GOOLIME,3,2019.01,,,2.96,,,,
LIMERS,SLIMELIME,4,2019.01,,,3.15,,30.22,,
TEAM MOMO,TEAM MOMO,,2019.01,,,10.52,,30,,
TEAM MOMO,MOMOMOMO,4,2019.01,,,3.14,,,,
TEAM MOMO,MO,1,2019.01,,,2.52,,30,,
TEAM MOMO,MOMO,2,2019.01,,,1.97,,,,
TEAM MOMO,MOMOMO,3,2019.01,,,2.89,,,,
TEAM PRIMARY,TEAM PRIMARY,,2019.01,,,DNF,,30.01,,
TEAM PRIMARY,MARY,1,2019.01,,,2.56,,,,
TEAM PRIMARY,IMAR,2,2019.01,,,1.87,,,,
TEAM PRIMARY,RIMA,3,2019.01,,,2.78,,,,
TEAM PRIMARY,PRIM,4,2019.01,,,DNF,,,,
TEAM PRIMARY,ARYP,5,2019.01,,,,,30.01,,
ROJO ROLLERS,ROJO ROLLERS,,2019.01,,,10.87,,29.72,,
ROJO ROLLERS,ROJO UNO,1,2019.01,,,2.65,,29.72,,
ROJO ROLLERS,ROJO DOS,2,2019.01,,,1.97,,,,
ROJO ROLLERS,ROJO TRES,3,2019.01,,,2.9,,,,
ROJO ROLLERS,ROJO CUATRO,4,2019.01,,,3.35,,,,
SNOWBALLS,SNOWBALLS,,2019.01,,,13.63,,29.61,,
SNOWBALLS,SNOWFLAKE,3,2019.01,,,3.85,,,,
SNOWBALLS,SNOW,1,2019.01,,,2.88,,29.61,,
SNOWBALLS,SNOWY,2,2019.01,,,1.97,,,,
SNOWBALLS,SNOWSTORM,4,2019.01,,,4.93,,,,
SHINING SWARM,SHINING SWARM,,2019.01,,,10.91,,29.62,,
SHINING SWARM,SHINY,1,2019.01,,,2.76,,,,
SHINING SWARM,SPARKLE,2,2019.01,,,2.01,,,,
SHINING SWARM,SHIMMER,3,2019.01,,,2.96,,29.62,,
SHINING SWARM,STERLING,4,2019.01,,,3.18,,,,
BUMBLEBEES,BUMBLEBEES,,2019.01,,,,,,,
BUMBLEBEES,BRUMBLE,1,2019.01,,,,,,,
BUMBLEBEES,BRAMBLE,2,2019.01,,,,,,,
BUMBLEBEES,BRIMBLE,3,2019.01,,,,,,,
BUMBLEBEES,BROMBLE,4,2019.01,,,,,,,
MINTY MANIACS,MINTY MANIACS,,2019.01,,,,,,,
MINTY MANIACS,MINTY DRIZZEL,1,2019.01,,,,,,,
MINTY MANIACS,MINTY FLAV,2,2019.01,,,,,,,
MINTY MANIACS,MINTY FRESH,3,2019.01,,,,,,,
MINTY MANIACS,MINTY SWIRL,4,2019.01,,,,,,,
HORNETS,HORNETS,,2019.01,,,,,,,
HORNETS,STINGER,1,2019.01,,,,,,,
HORNETS,WASP,2,2019.01,,,,,,,
HORNETS,VESPA,3,2019.01,,,,,,,
HORNETS,HIVE,4,2019.01,,,,,,,
TURTLE SLIDERS,TURTLE SLIDERS,,2019.01,,,,,,,
TURTLE SLIDERS,CRUSH,1,2019.01,,,,,,,
TURTLE SLIDERS,SQUIRT,2,2019.01,,,,,,,
TURTLE SLIDERS,SHELLY,3,2019.01,,,,,,,
TURTLE SLIDERS,DASH,4,2019.01,,,,,,,
