"","team","teammean","member","overallscore","overallcount","sand16","water16","sprint16","hurdles16","relay17","sand17","sprint17","hurdles17","steeplechase","undrwtr17","snowrally","winBiathlon","icedash","speedskat","snowboard","sandmgl","relay","sandrally","underwater","msprint","hurdles","elimination","biathlon","rank2"
"55","TEAM MOMO",-8,"MOMOMO",-2,5,NA,-0.7822634,NA,NA,0.232542569662979,NA,NA,0.31476918,0.6117,NA,NA,NA,NA,NA,NA,NA,-0.685785673237314,NA,NA,NA,NA,NA,NA,10
"56","TEAM MOMO",-8,"MOMOMOMO",11,4,0.029273592,NA,NA,NA,0.406485928595066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.483028703264984,0.42627972,NA,NA,NA,NA,NA,10
"57","TEAM PRIMARY",-17,"IMAR",-38,6,NA,NA,NA,-0.58666939,0.0858243942260743,-0.614349278990904,-2.4543159,NA,0.37113616,NA,NA,NA,NA,NA,NA,NA,0.484146972944725,NA,NA,NA,NA,NA,NA,5
"58","TEAM PRIMARY",-17,"MARY",17,7,-0.24125317,NA,NA,NA,0.492264041304588,NA,NA,NA,0.49225914,NA,NA,-0.23060667,0.035346419,NA,-0.3924461,NA,0.717266943650525,NA,NA,NA,NA,NA,NA,5
"59","TEAM PRIMARY",-17,"PRIM",12,4,NA,NA,NA,NA,0.347462791508186,NA,NA,NA,0.5048762,NA,NA,0.2807690865,NA,NA,NA,NA,NA,-0.73927236,NA,NA,NA,NA,NA,5
"60","TEAM PRIMARY",-17,"RIMA",-41,8,NA,-0.087047428,-0.97812045,NA,-0.303410740250289,0.501570794339503,NA,-2.0342145,0.49562377,-1.0158681,NA,NA,NA,NA,NA,NA,-0.539221822682535,NA,NA,NA,NA,NA,NA,5
"61","THUNDERBOLTS",3,"BOLTA",20,7,NA,NA,0.6455977,NA,-0.294675581466003,1.63762336614809,-0.91667229,NA,0.49225914,NA,NA,-0.579640215,NA,-0.17076299,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"62","THUNDERBOLTS",3,"BOLTO",37,6,0.093877107,NA,NA,0.73285019,-0.142750077659969,NA,NA,NA,0.36524811,NA,NA,0.016123071825,NA,NA,0.92791522,NA,NA,NA,NA,NA,NA,NA,NA,14
"63","THUNDERBOLTS",3,"BOLTU",-33,5,NA,NA,NA,NA,0.0885589333328681,NA,NA,-2.1895189,0.43337989,NA,NA,0.23648230725,-0.52446932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"64","THUNDERBOLTS",3,"BOLTY",-4,7,NA,-0.23089153,NA,NA,-0.361251813935887,NA,NA,NA,0.51328748,-0.72877377,-0.386492186171746,0.6279237825,NA,NA,NA,-0.038517434,NA,NA,NA,NA,NA,NA,NA,14
"65","CRAZY CAT'S EYES",23,"BLUE EYE",50,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46846249126594,1.0168744425,NA,NA,NA,NA,-0.14816282142956,NA,0.86710453,NA,0.12809128,NA,NA,22
"66","CRAZY CAT'S EYES",23,"GREEN EYE",1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9592564275,-0.68441749,NA,-0.034870081,NA,0.0195439964205161,-0.90121418,NA,0.39726299,NA,NA,NA,22
"67","CRAZY CAT'S EYES",23,"RED EYE",41,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.423890993173891,0.7917654675,NA,0.73989165,NA,NA,-0.0395851061375955,NA,NA,NA,NA,0.74177241,0.42944592,22
"68","CRAZY CAT'S EYES",23,"YELLOW EYE",-5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4130924175,0.83508152,NA,NA,-1.967549,0.294932750093033,NA,NA,NA,NA,NA,NA,22
"69","GREEN DUCKS",-19,"BILLY",20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0055895999735194,NA,NA,0.37787706,NA,NA,NA,3
"70","GREEN DUCKS",-19,"DUCKY",-65,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.213783154809746,NA,-1.5625579,NA,NA,NA,NA,3
"71","GREEN DUCKS",-19,"MALLARD",-23,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.149357235761964,-0.30040848,NA,NA,-0.23682708,NA,NA,3
"72","GREEN DUCKS",-19,"QUACKY",-12,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.229239093748993,NA,0.82071525,NA,NA,-0.45003664,-1.2476224,3
"73","HAZERS",26,"FOGGY",20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07094520825,NA,NA,NA,NA,0.238898983899194,NA,NA,NA,0.27921623,NA,NA,23
"74","HAZERS",26,"HAZY",36,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.202511366578056,-0.21193939725,1.0550073,NA,NA,NA,0.156943808314995,NA,0.82819587,NA,NA,NA,NA,23
"75","HAZERS",26,"MISTY",10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.031539621225,NA,1.5759873,-0.70301336,NA,0.186854177501922,NA,NA,NA,NA,-0.68071544,-0.20488741,23
"76","HAZERS",26,"SMOGGY",36,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.986525953001812,-0.0500382561,NA,NA,NA,-0.79259324,-0.152457040125689,-0.66087377,1.8865882,0.70355326,NA,NA,NA,23
"77","INDIGO STARS",-12,"BINGO",-2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0185972097975582,NA,-0.054499432,NA,NA,NA,NA,8
